Address,City,Availability,Price,Beds,Baths,PropertyType,URL
"262 Dundas St E, Waterdown, Ontario L8B 0L1",Waterdown,For Lease,1695,1,1,Condo,https://www.qterrapropertymanagement.com/properties/262-dundas-st-e%2C-waterdown%2C-ontario-l8b-0l1
"43 McFarlane Dr, Cambridge, Ontario N3C 4J9",Cambridge,For Lease,2950,3.5,1,Detached House,https://www.qterrapropertymanagement.com/properties/43-mcfarlane-dr%2C-cambridge%2C-ontario-n3c-4j9
"2-746 Phillip Murray Ave, Oshawa, Ontario L1J 1J3",Oshawa,For Lease,1795,3,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-746-phillip-murray-ave%2C-oshawa%2C-ontario-l1j-1j3
"3351 Willguard Ct, Niagara Falls, Ontario L2G 6X6",Niagara Falls,For Lease,2495,3,1,Detached House,https://www.qterrapropertymanagement.com/properties/3351-willguard-ct%2C-niagara-falls%2C-ontario-l2g-6x6
"1-13854 Bathurst Street, King, Ontario L7B 1K5",King,For Lease,2195,1.5,1,Apartment,https://www.qterrapropertymanagement.com/properties/1-13854-bathurst-street%2C-king%2C-ontario-l7b-1k5
"204-12 Anglesey Blvd, Toronto, Ontario M9A 3B3",Toronto,For Lease,1875,1,1,Apartment,https://www.qterrapropertymanagement.com/properties/204-12-anglesey-blvd%2C-toronto%2C-ontario-m9a-3b3
"2-137 Gardenpost Ter, Ottawa, Ontario K4A 5G9",Ottawa,For Lease,1750,1,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-137-gardenpost-ter%2C-ottawa%2C-ontario-k4a-5g9
"108-1459 Trafalgar St, London, Ontario N5W 1W8",London,For Lease,1450,1,2,,https://www.qterrapropertymanagement.com/properties/108-1459-trafalgar-st%2C-london%2C-ontario-n5w-1w8
"2-18 Langton Rd, London, Ontario N5V 2L8",London,For Lease,1650,2,1,,https://www.qterrapropertymanagement.com/properties/2-18-langton-rd%2C-london%2C-ontario-n5v-2l8
"1105-1 Jarvis St, Hamilton, Ontario L8R 3J2",Hamilton,For Lease,2095,2,2.5,Condo,https://www.qterrapropertymanagement.com/properties/1105-1-jarvis-st%2C-hamilton%2C-ontario-l8r-3j2
"2-133 Marchington Cir, Scarborough, Ontario M1R 3M9",Scarborough,For Lease,1795,2,2.5,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-133-marchington-cir%2C-scarborough%2C-ontario-m1r-3m9
"N701-35 Rolling Mills Road, Toronto, Ontario M5A 0V6",Toronto,For Lease,2695,2,1,Condo,https://www.qterrapropertymanagement.com/properties/n701-35-rolling-mills-road%2C-toronto%2C-ontario-m5a-0v6
"2-11 Northern Breeze Cres, Whitby, Ontario L1R 0P4",Whitby,For Lease,1895,2.5,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-11-northern-breeze-cres%2C-whitby%2C-ontario-l1r-0p4
"1-484 Main St E, Hamilton, Ontario L8N 1K6",Hamilton,For Lease,1895,2,1,,https://www.qterrapropertymanagement.com/properties/1-484-main-st-e%2C-hamilton%2C-ontario-l8n-1k6
"3-142 Brock St, Brockville, Ontario K6V 4G4",Brockville,For Lease,1850,3,1,,https://www.qterrapropertymanagement.com/properties/3-142-brock-st%2C-brockville%2C-ontario-k6v-4g4
"33 Medley Ln, Ajax, Ontario L1S 3P5",Ajax,For Lease,2875,3,1,Detached House,https://www.qterrapropertymanagement.com/properties/33-medley-ln%2C-ajax%2C-ontario-l1s-3p5
"2-102 Tozer Crescent, Ajax, Ontario L1T 5A2",Ajax,For Lease,1750,2,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-102-tozer-crescent%2C-ajax%2C-ontario-l1t-5a2
